TableName,TableDescription,ColumnName,ColumnDescription,ColumnType,Cardinality,field_name_provenance,type_provenance,sample_values_policy
작전명령,작전명령서에서 추출된 작전 단위 정보,operation_order_id,작전명령을 식별하는 ID,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
작전명령,작전명령서에서 추출된 작전 단위 정보,operation_name,작전의 고유 명칭,string,one,observed_in_link_page,inferred_from_observed_values,not_passed_primary
작전명령,작전명령서에서 추출된 작전 단위 정보,operation_type,공격 또는 방어와 같은 작전 유형,string,one,observed_in_link_page,inferred_from_observed_values,not_passed_primary
작전명령,작전명령서에서 추출된 작전 단위 정보,target_unit,작전을 수행하도록 지정된 대상 부대 식별자,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
작전명령,작전명령서에서 추출된 작전 단위 정보,target_terrain,작전이 확보하거나 방어해야 하는 목표 지형,string,one,observed_in_link_page,inferred_from_observed_values,not_passed_primary
작전명령,작전명령서에서 추출된 작전 단위 정보,applicable_rule,작전명령에 적용되는 교전규칙 식별자,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
작전명령,작전명령서에서 추출된 작전 단위 정보,mission,부대가 수행해야 하는 임무 문장,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
아군_부대,아군 부대 Excel 추출 정보,unit_id,아군 부대를 식별하는 ID,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
아군_부대,아군 부대 Excel 추출 정보,unit_name,아군 부대의 표시 명칭,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
아군_부대,아군 부대 Excel 추출 정보,operation,아군 부대가 수행하는 작전의 축약 표현,string,one,observed_in_link_page,inferred_from_observed_values,not_passed_primary
아군_부대,아군 부대 Excel 추출 정보,available_firepower,아군 부대가 사용할 수 있는 화력 수치,integer,one,observed_in_link_page,inferred_from_observed_values,not_passed_primary
적군_부대,적군 부대 Excel 추출 정보,unit_id,적군 부대를 식별하는 ID,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
적군_부대,적군 부대 Excel 추출 정보,unit_name,적군 부대의 표시 명칭,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
적군_부대,적군 부대 Excel 추출 정보,operation,적군 부대와 관련된 작전의 축약 표현,string,one,observed_in_link_page,inferred_from_observed_values,not_passed_primary
적군_부대,적군 부대 Excel 추출 정보,available_firepower,적군 부대가 사용할 수 있는 화력 수치,integer,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
교전규칙,교전규칙 및 표준절차 문서에서 추출된 규칙 정보,rule_id,교전규칙 또는 표준절차를 식별하는 ID,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
교전규칙,교전규칙 및 표준절차 문서에서 추출된 규칙 정보,rule_name,교전규칙 또는 표준절차의 명칭,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
교전규칙,교전규칙 및 표준절차 문서에서 추출된 규칙 정보,rule_type,ROE 또는 SOP와 같은 규칙 유형,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
교전규칙,교전규칙 및 표준절차 문서에서 추출된 규칙 정보,priority,규칙 적용 우선순위,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
교전규칙,교전규칙 및 표준절차 문서에서 추출된 규칙 정보,condition,규칙이 적용되는 조건,string,many,observed_in_link_page,inferred_from_observed_values,not_passed_primary
교전규칙,교전규칙 및 표준절차 문서에서 추출된 규칙 정보,requirement,규칙을 준수하기 위해 충족해야 하는 요구사항,string,many,observed_in_link_page,inferred_from_observed_values,not_passed_primary
지형_정보,지형 문서에서 추출된 지형 객체 정보,terrain_id,지형 객체를 식별하는 ID,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
지형_정보,지형 문서에서 추출된 지형 객체 정보,name,지형의 공식 명칭,string,optional_one,observed_in_link_page,inferred_from_observed_values,not_passed_primary
지형_정보,지형 문서에서 추출된 지형 객체 정보,terrain_type,고지 또는 능선과 같은 지형 유형,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
지형_정보,지형 문서에서 추출된 지형 객체 정보,elevation,미터 단위로 표시된 지형 고도,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
지형_정보,지형 문서에서 추출된 지형 객체 정보,key_terrain,핵심 지형 여부,boolean,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
지형_정보,지형 문서에서 추출된 지형 객체 정보,note,지형의 작전적 특성을 설명하는 비고,string,unknown,normalized_from_observed_korean_header,inferred_from_observed_values,not_passed_primary
