source_table,source_column,target_object_type,target_property,mapping_type,difficulty,rationale,evidence_source,evidence_location,annotation_status,review_status
AwardingOrganization,awarding_agency_code,Tender,procuringEntity.id,1:n,abbreviation,The agency code identifies both the tender's procuring entity reference and the corresponding organization identifier.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field awarding_agency_code; OCDS 1.1.5 canonical schema: Tender.procuringEntity.id,draft_complete,deterministically_validated_not_independent
AwardingOrganization,awarding_agency_code,Organization,identifier.id,1:n,abbreviation,The agency code identifies both the tender's procuring entity reference and the corresponding organization identifier.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field awarding_agency_code; OCDS 1.1.5 canonical schema: Organization.identifier.id,draft_complete,deterministically_validated_not_independent
AwardingOrganization,awarding_agency_name,Tender,procuringEntity.name,1:n,easy,The awarding agency is the procuring entity and an organization.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field awarding_agency_name; OCDS 1.1.5 canonical schema: Tender.procuringEntity.name,draft_complete,deterministically_validated_not_independent
AwardingOrganization,awarding_agency_name,Organization,name,1:n,easy,The awarding agency is the procuring entity and an organization.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field awarding_agency_name; OCDS 1.1.5 canonical schema: Organization.name,draft_complete,deterministically_validated_not_independent
AwardingOrganization,awarding_office_code,Organization,identifier.id,1:1,abbreviation,The awarding office code identifies an organization in the federal hierarchy.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field awarding_office_code; OCDS 1.1.5 canonical schema: Organization.identifier.id,draft_complete,deterministically_validated_not_independent
AwardingOrganization,awarding_office_name,Organization,name,1:1,easy,The awarding office name is an organization name.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field awarding_office_name; OCDS 1.1.5 canonical schema: Organization.name,draft_complete,deterministically_validated_not_independent
AwardingOrganization,awarding_sub_agency_code,Organization,identifier.id,1:1,abbreviation,The sub-tier agency code is an organization identifier.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field awarding_sub_agency_code; OCDS 1.1.5 canonical schema: Organization.identifier.id,draft_complete,deterministically_validated_not_independent
AwardingOrganization,awarding_sub_agency_name,Organization,name,1:1,easy,The sub-tier agency name is an organization name.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field awarding_sub_agency_name; OCDS 1.1.5 canonical schema: Organization.name,draft_complete,deterministically_validated_not_independent
AwardingOrganization,funding_agency_code,Organization,identifier.id,1:1,context,The funding agency is modeled as an organization identified by this code.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field funding_agency_code; OCDS 1.1.5 canonical schema: Organization.identifier.id,draft_complete,deterministically_validated_not_independent
AwardingOrganization,funding_agency_name,Organization,name,1:1,context,The funding agency is modeled as an organization with this name.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field funding_agency_name; OCDS 1.1.5 canonical schema: Organization.name,draft_complete,deterministically_validated_not_independent
ContractAward,action_date,Award,date,1:n,context,"USAspending defines the action date as issue/signature or binding agreement date, spanning both OCDS award and contract-signing dates.",USAspending data dictionary; OCDS 1.1.5 schema,USAspending field action_date; OCDS 1.1.5 canonical schema: Award.date,draft_complete,deterministically_validated_not_independent
